source,target,output_fn,reference_fn,label
p234,p234,p234/p234_054.wav,p234/p234_157.wav,1
p234,p265,p234-p265/p234_050.wav,p265/p265_050.wav,0
p234,p265,p234-p265/p234_051.wav,p265/p265_051.wav,0
p234,p265,p234-p265/p234_052.wav,p265/p265_052.wav,0
p234,p265,p234-p265/p234_053.wav,p265/p265_053.wav,0
p234,p265,p234-p265/p234_054.wav,p265/p265_054.wav,0
p234,p234,p234/p234_050.wav,p234/p234_220.wav,1
p234,p234,p234/p234_051.wav,p234/p234_265.wav,1
p234,p234,p234/p234_052.wav,p234/p234_162.wav,1
p234,p234,p234/p234_053.wav,p234/p234_340.wav,1
p234,p234,p234/p234_054.wav,p234/p234_171.wav,1
p234,p271,p234-p271/p234_050.wav,p271/p271_050.wav,0
p234,p271,p234-p271/p234_051.wav,p271/p271_051.wav,0
p234,p271,p234-p271/p234_052.wav,p271/p271_052.wav,0
p234,p271,p234-p271/p234_053.wav,p271/p271_053.wav,0
p234,p271,p234-p271/p234_054.wav,p271/p271_054.wav,0
p234,p234,p234/p234_050.wav,p234/p234_232.wav,1
p234,p234,p234/p234_051.wav,p234/p234_094.wav,1
p234,p234,p234/p234_052.wav,p234/p234_325.wav,1
p234,p234,p234/p234_053.wav,p234/p234_281.wav,1
p234,p234,p234/p234_054.wav,p234/p234_311.wav,1
p234,p272,p234-p272/p234_050.wav,p272/p272_050.wav,0
p234,p272,p234-p272/p234_051.wav,p272/p272_051.wav,0
p234,p272,p234-p272/p234_052.wav,p272/p272_052.wav,0
p234,p272,p234-p272/p234_053.wav,p272/p272_053.wav,0
p234,p272,p234-p272/p234_054.wav,p272/p272_054.wav,0
p234,p234,p234/p234_050.wav,p234/p234_148.wav,1
p234,p234,p234/p234_051.wav,p234/p234_319.wav,1
p234,p234,p234/p234_052.wav,p234/p234_148.wav,1
p234,p234,p234/p234_053.wav,p234/p234_127.wav,1
p234,p234,p234/p234_054.wav,p234/p234_217.wav,1
p234,p275,p234-p275/p234_050.wav,p275/p275_050.wav,0
p234,p275,p234-p275/p234_051.wav,p275/p275_051.wav,0
p234,p275,p234-p275/p234_052.wav,p275/p275_052.wav,0
p234,p275,p234-p275/p234_053.wav,p275/p275_053.wav,0
p234,p275,p234-p275/p234_054.wav,p275/p275_054.wav,0
p234,p234,p234/p234_050.wav,p234/p234_095.wav,1
p234,p234,p234/p234_051.wav,p234/p234_064.wav,1
p234,p234,p234/p234_052.wav,p234/p234_250.wav,1
p234,p234,p234/p234_053.wav,p234/p234_352.wav,1
p234,p234,p234/p234_054.wav,p234/p234_267.wav,1
p234,p281,p234-p281/p234_050.wav,p281/p281_050.wav,0
p234,p281,p234-p281/p234_051.wav,p281/p281_051.wav,0
p234,p281,p234-p281/p234_052.wav,p281/p281_052.wav,0
p234,p281,p234-p281/p234_053.wav,p281/p281_053.wav,0
p234,p281,p234-p281/p234_054.wav,p281/p281_054.wav,0
p234,p234,p234/p234_050.wav,p234/p234_229.wav,1
p234,p234,p234/p234_051.wav,p234/p234_028.wav,1
p234,p234,p234/p234_052.wav,p234/p234_247.wav,1
p234,p234,p234/p234_053.wav,p234/p234_049.wav,1
p234,p234,p234/p234_054.wav,p234/p234_143.wav,1
p234,p284,p234-p284/p234_050.wav,p284/p284_050.wav,0
p234,p284,p234-p284/p234_051.wav,p284/p284_051.wav,0
p234,p284,p234-p284/p234_052.wav,p284/p284_052.wav,0
p234,p284,p234-p284/p234_053.wav,p284/p284_053.wav,0
p234,p284,p234-p284/p234_054.wav,p284/p284_054.wav,0
p234,p234,p234/p234_050.wav,p234/p234_100.wav,1
p234,p234,p234/p234_051.wav,p234/p234_284.wav,1
p234,p234,p234/p234_052.wav,p234/p234_257.wav,1
p234,p234,p234/p234_053.wav,p234/p234_357.wav,1
p234,p234,p234/p234_054.wav,p234/p234_157.wav,1
p234,p285,p234-p285/p234_050.wav,p285/p285_050.wav,0
p234,p285,p234-p285/p234_051.wav,p285/p285_051.wav,0
p234,p285,p234-p285/p234_052.wav,p285/p285_052.wav,0
p234,p285,p234-p285/p234_053.wav,p285/p285_053.wav,0
p234,p285,p234-p285/p234_054.wav,p285/p285_054.wav,0
p234,p234,p234/p234_050.wav,p234/p234_109.wav,1
p234,p234,p234/p234_051.wav,p234/p234_241.wav,1
p234,p234,p234/p234_052.wav,p234/p234_156.wav,1
p234,p234,p234/p234_053.wav,p234/p234_208.wav,1
p234,p234,p234/p234_054.wav,p234/p234_131.wav,1
p237,p234,p237-p234/p237_050.wav,p234/p234_050.wav,0
p237,p234,p237-p234/p237_051.wav,p234/p234_051.wav,0
p237,p234,p237-p234/p237_052.wav,p234/p234_052.wav,0
p237,p234,p237-p234/p237_053.wav,p234/p234_053.wav,0
p237,p234,p237-p234/p237_054.wav,p234/p234_054.wav,0
p237,p237,p237/p237_050.wav,p237/p237_224.wav,1
p237,p237,p237/p237_051.wav,p237/p237_301.wav,1
p237,p237,p237/p237_052.wav,p237/p237_097.wav,1
p237,p237,p237/p237_053.wav,p237/p237_347.wav,1
p237,p237,p237/p237_054.wav,p237/p237_150.wav,1
p237,p241,p237-p241/p237_050.wav,p241/p241_050.wav,0
p237,p241,p237-p241/p237_051.wav,p241/p241_051.wav,0
p237,p241,p237-p241/p237_052.wav,p241/p241_052.wav,0
p237,p241,p237-p241/p237_053.wav,p241/p241_053.wav,0
p237,p241,p237-p241/p237_055.wav,p241/p241_055.wav,0
p237,p237,p237/p237_050.wav,p237/p237_289.wav,1
p237,p237,p237/p237_051.wav,p237/p237_137.wav,1
p237,p237,p237/p237_052.wav,p237/p237_048.wav,1
p237,p237,p237/p237_053.wav,p237/p237_334.wav,1
p237,p237,p237/p237_054.wav,p237/p237_341.wav,1
p237,p246,p237-p246/p237_050.wav,p246/p246_050.wav,0
p237,p246,p237-p246/p237_051.wav,p246/p246_051.wav,0
p237,p246,p237-p246/p237_052.wav,p246/p246_052.wav,0
p237,p246,p237-p246/p237_053.wav,p246/p246_053.wav,0
p237,p246,p237-p246/p237_054.wav,p246/p246_054.wav,0
p237,p237,p237/p237_050.wav,p237/p237_046.wav,1
p237,p237,p237/p237_051.wav,p237/p237_216.wav,1
p237,p237,p237/p237_052.wav,p237/p237_335.wav,1
p237,p237,p237/p237_053.wav,p237/p237_328.wav,1
p237,p237,p237/p237_054.wav,p237/p237_206.wav,1
p237,p247,p237-p247/p237_050.wav,p247/p247_050.wav,0
p237,p247,p237-p247/p237_051.wav,p247/p247_051.wav,0
p237,p247,p237-p247/p237_052.wav,p247/p247_052.wav,0
p237,p247,p237-p247/p237_053.wav,p247/p247_053.wav,0
p237,p247,p237-p247/p237_054.wav,p247/p247_054.wav,0
p237,p237,p237/p237_050.wav,p237/p237_122.wav,1
p237,p237,p237/p237_051.wav,p237/p237_182.wav,1
p237,p237,p237/p237_052.wav,p237/p237_127.wav,1
p237,p237,p237/p237_053.wav,p237/p237_111.wav,1
p237,p237,p237/p237_054.wav,p237/p237_320.wav,1
p237,p249,p237-p249/p237_050.wav,p249/p249_050.wav,0
p237,p249,p237-p249/p237_051.wav,p249/p249_051.wav,0
p237,p249,p237-p249/p237_052.wav,p249/p249_052.wav,0
p237,p249,p237-p249/p237_053.wav,p249/p249_053.wav,0
p237,p249,p237-p249/p237_054.wav,p249/p249_054.wav,0
p237,p237,p237/p237_050.wav,p237/p237_084.wav,1
p237,p237,p237/p237_051.wav,p237/p237_144.wav,1
p237,p237,p237/p237_052.wav,p237/p237_112.wav,1
p237,p237,p237/p237_053.wav,p237/p237_062.wav,1
p237,p237,p237/p237_054.wav,p237/p237_252.wav,1
p237,p252,p237-p252/p237_050.wav,p252/p252_050.wav,0
p237,p252,p237-p252/p237_051.wav,p252/p252_051.wav,0
p237,p252,p237-p252/p237_052.wav,p252/p252_052.wav,0
p237,p252,p237-p252/p237_053.wav,p252/p252_053.wav,0
p237,p252,p237-p252/p237_054.wav,p252/p252_054.wav,0
p237,p237,p237/p237_050.wav,p237/p237_343.wav,1
p237,p237,p237/p237_051.wav,p237/p237_320.wav,1
p237,p237,p237/p237_052.wav,p237/p237_313.wav,1
p237,p237,p237/p237_053.wav,p237/p237_046.wav,1
p237,p237,p237/p237_054.wav,p237/p237_258.wav,1
p237,p255,p237-p255/p237_050.wav,p255/p255_050.wav,0
p237,p255,p237-p255/p237_051.wav,p255/p255_051.wav,0
p237,p255,p237-p255/p237_052.wav,p255/p255_052.wav,0
p237,p255,p237-p255/p237_053.wav,p255/p255_053.wav,0
p237,p255,p237-p255/p237_054.wav,p255/p255_054.wav,0
p237,p237,p237/p237_050.wav,p237/p237_207.wav,1
p237,p237,p237/p237_051.wav,p237/p237_074.wav,1
p237,p237,p237/p237_052.wav,p237/p237_304.wav,1
p237,p237,p237/p237_053.wav,p237/p237_028.wav,1
p237,p237,p237/p237_054.wav,p237/p237_091.wav,1
p237,p260,p237-p260/p237_050.wav,p260/p260_050.wav,0
p237,p260,p237-p260/p237_051.wav,p260/p260_051.wav,0
p237,p260,p237-p260/p237_052.wav,p260/p260_052.wav,0
p237,p260,p237-p260/p237_053.wav,p260/p260_053.wav,0
p237,p260,p237-p260/p237_054.wav,p260/p260_054.wav,0
p237,p237,p237/p237_050.wav,p237/p237_190.wav,1
p237,p237,p237/p237_051.wav,p237/p237_089.wav,1
p237,p237,p237/p237_052.wav,p237/p237_241.wav,1
p237,p237,p237/p237_053.wav,p237/p237_185.wav,1
p237,p237,p237/p237_054.wav,p237/p237_168.wav,1
p237,p262,p237-p262/p237_050.wav,p262/p262_050.wav,0
p237,p262,p237-p262/p237_051.wav,p262/p262_051.wav,0
p237,p262,p237-p262/p237_052.wav,p262/p262_052.wav,0
p237,p262,p237-p262/p237_053.wav,p262/p262_053.wav,0
p237,p262,p237-p262/p237_054.wav,p262/p262_054.wav,0
p237,p237,p237/p237_050.wav,p237/p237_326.wav,1
p237,p237,p237/p237_051.wav,p237/p237_344.wav,1
p237,p237,p237/p237_052.wav,p237/p237_066.wav,1
p237,p237,p237/p237_053.wav,p237/p237_275.wav,1
p237,p237,p237/p237_054.wav,p237/p237_302.wav,1
p237,p263,p237-p263/p237_050.wav,p263/p263_050.wav,0
p237,p263,p237-p263/p237_051.wav,p263/p263_051.wav,0
p237,p263,p237-p263/p237_052.wav,p263/p263_052.wav,0
p237,p263,p237-p263/p237_053.wav,p263/p263_053.wav,0
p237,p263,p237-p263/p237_054.wav,p263/p263_054.wav,0
p237,p237,p237/p237_050.wav,p237/p237_220.wav,1
p237,p237,p237/p237_051.wav,p237/p237_045.wav,1
p237,p237,p237/p237_052.wav,p237/p237_029.wav,1
p237,p237,p237/p237_053.wav,p237/p237_194.wav,1
p237,p237,p237/p237_054.wav,p237/p237_203.wav,1
p237,p264,p237-p264/p237_050.wav,p264/p264_050.wav,0
p237,p264,p237-p264/p237_051.wav,p264/p264_051.wav,0
p237,p264,p237-p264/p237_053.wav,p264/p264_053.wav,0
p237,p264,p237-p264/p237_054.wav,p264/p264_054.wav,0
p237,p264,p237-p264/p237_055.wav,p264/p264_055.wav,0
p237,p237,p237/p237_050.wav,p237/p237_106.wav,1
p237,p237,p237/p237_051.wav,p237/p237_289.wav,1
p237,p237,p237/p237_052.wav,p237/p237_322.wav,1
p237,p237,p237/p237_053.wav,p237/p237_307.wav,1
p237,p237,p237/p237_054.wav,p237/p237_299.wav,1
p237,p265,p237-p265/p237_050.wav,p265/p265_050.wav,0
p237,p265,p237-p265/p237_051.wav,p265/p265_051.wav,0
p237,p265,p237-p265/p237_052.wav,p265/p265_052.wav,0
p237,p265,p237-p265/p237_053.wav,p265/p265_053.wav,0
p237,p265,p237-p265/p237_054.wav,p265/p265_054.wav,0
p237,p237,p237/p237_050.wav,p237/p237_277.wav,1
p237,p237,p237/p237_051.wav,p237/p237_143.wav,1
p237,p237,p237/p237_052.wav,p237/p237_135.wav,1
p237,p237,p237/p237_053.wav,p237/p237_182.wav,1
p237,p237,p237/p237_054.wav,p237/p237_043.wav,1
p237,p271,p237-p271/p237_050.wav,p271/p271_050.wav,0
p237,p271,p237-p271/p237_051.wav,p271/p271_051.wav,0
p237,p271,p237-p271/p237_052.wav,p271/p271_052.wav,0
p237,p271,p237-p271/p237_053.wav,p271/p271_053.wav,0
p237,p271,p237-p271/p237_054.wav,p271/p271_054.wav,0
p237,p237,p237/p237_050.wav,p237/p237_225.wav,1
p237,p237,p237/p237_051.wav,p237/p237_291.wav,1
p237,p237,p237/p237_052.wav,p237/p237_107.wav,1
p237,p237,p237/p237_053.wav,p237/p237_101.wav,1
p237,p237,p237/p237_054.wav,p237/p237_163.wav,1
p237,p272,p237-p272/p237_050.wav,p272/p272_050.wav,0
p237,p272,p237-p272/p237_051.wav,p272/p272_051.wav,0
p237,p272,p237-p272/p237_052.wav,p272/p272_052.wav,0
p237,p272,p237-p272/p237_053.wav,p272/p272_053.wav,0
p237,p272,p237-p272/p237_054.wav,p272/p272_054.wav,0
p237,p237,p237/p237_050.wav,p237/p237_250.wav,1
p237,p237,p237/p237_051.wav,p237/p237_139.wav,1
p237,p237,p237/p237_052.wav,p237/p237_163.wav,1
p237,p237,p237/p237_053.wav,p237/p237_250.wav,1
p237,p237,p237/p237_054.wav,p237/p237_340.wav,1
p237,p275,p237-p275/p237_050.wav,p275/p275_050.wav,0
p237,p275,p237-p275/p237_051.wav,p275/p275_051.wav,0
p237,p275,p237-p275/p237_052.wav,p275/p275_052.wav,0
p237,p275,p237-p275/p237_053.wav,p275/p275_053.wav,0
p237,p275,p237-p275/p237_054.wav,p275/p275_054.wav,0
p237,p237,p237/p237_050.wav,p237/p237_149.wav,1
p237,p237,p237/p237_051.wav,p237/p237_215.wav,1
p237,p237,p237/p237_052.wav,p237/p237_155.wav,1
p237,p237,p237/p237_053.wav,p237/p237_342.wav,1
p237,p237,p237/p237_054.wav,p237/p237_178.wav,1
p237,p281,p237-p281/p237_050.wav,p281/p281_050.wav,0
p237,p281,p237-p281/p237_051.wav,p281/p281_051.wav,0
p237,p281,p237-p281/p237_052.wav,p281/p281_052.wav,0
p237,p281,p237-p281/p237_053.wav,p281/p281_053.wav,0
p237,p281,p237-p281/p237_054.wav,p281/p281_054.wav,0
p237,p237,p237/p237_050.wav,p237/p237_252.wav,1
p237,p237,p237/p237_051.wav,p237/p237_133.wav,1
p237,p237,p237/p237_052.wav,p237/p237_212.wav,1
p237,p237,p237/p237_053.wav,p237/p237_250.wav,1
p237,p237,p237/p237_054.wav,p237/p237_046.wav,1
p237,p284,p237-p284/p237_050.wav,p284/p284_050.wav,0
p237,p284,p237-p284/p237_051.wav,p284/p284_051.wav,0
p237,p284,p237-p284/p237_052.wav,p284/p284_052.wav,0
p237,p284,p237-p284/p237_053.wav,p284/p284_053.wav,0
p237,p284,p237-p284/p237_054.wav,p284/p284_054.wav,0
p237,p237,p237/p237_050.wav,p237/p237_193.wav,1
p237,p237,p237/p237_051.wav,p237/p237_236.wav,1
p237,p237,p237/p237_052.wav,p237/p237_270.wav,1
p237,p237,p237/p237_053.wav,p237/p237_071.wav,1
p237,p237,p237/p237_054.wav,p237/p237_062.wav,1
p237,p285,p237-p285/p237_050.wav,p285/p285_050.wav,0
p237,p285,p237-p285/p237_051.wav,p285/p285_051.wav,0
p237,p285,p237-p285/p237_052.wav,p285/p285_052.wav,0
p237,p285,p237-p285/p237_053.wav,p285/p285_053.wav,0
p237,p285,p237-p285/p237_054.wav,p285/p285_054.wav,0
p237,p237,p237/p237_050.wav,p237/p237_346.wav,1
p237,p237,p237/p237_051.wav,p237/p237_029.wav,1
p237,p237,p237/p237_052.wav,p237/p237_187.wav,1
p237,p237,p237/p237_053.wav,p237/p237_126.wav,1
p237,p237,p237/p237_054.wav,p237/p237_264.wav,1
p241,p234,p241-p234/p241_050.wav,p234/p234_050.wav,0
p241,p234,p241-p234/p241_051.wav,p234/p234_051.wav,0
p241,p234,p241-p234/p241_052.wav,p234/p234_052.wav,0
p241,p234,p241-p234/p241_053.wav,p234/p234_053.wav,0
p241,p234,p241-p234/p241_055.wav,p234/p234_055.wav,0
p241,p241,p241/p241_050.wav,p241/p241_284.wav,1
p241,p241,p241/p241_051.wav,p241/p241_323.wav,1
p241,p241,p241/p241_052.wav,p241/p241_236.wav,1
p241,p241,p241/p241_053.wav,p241/p241_207.wav,1
p241,p241,p241/p241_055.wav,p241/p241_183.wav,1
p241,p237,p241-p237/p241_050.wav,p237/p237_050.wav,0
p241,p237,p241-p237/p241_051.wav,p237/p237_051.wav,0
p241,p237,p241-p237/p241_052.wav,p237/p237_052.wav,0
p241,p237,p241-p237/p241_053.wav,p237/p237_053.wav,0
p241,p237,p241-p237/p241_055.wav,p237/p237_055.wav,0
p241,p241,p241/p241_050.wav,p241/p241_308.wav,1
p241,p241,p241/p241_051.wav,p241/p241_259.wav,1
p241,p241,p241/p241_052.wav,p241/p241_103.wav,1
p241,p241,p241/p241_053.wav,p241/p241_108.wav,1
p241,p241,p241/p241_055.wav,p241/p241_089.wav,1
p241,p246,p241-p246/p241_050.wav,p246/p246_050.wav,0
p241,p246,p241-p246/p241_051.wav,p246/p246_051.wav,0
p241,p246,p241-p246/p241_052.wav,p246/p246_052.wav,0
p241,p246,p241-p246/p241_053.wav,p246/p246_053.wav,0
p241,p246,p241-p246/p241_055.wav,p246/p246_055.wav,0
p241,p241,p241/p241_050.wav,p241/p241_225.wav,1
p241,p241,p241/p241_051.wav,p241/p241_113.wav,1
p241,p241,p241/p241_052.wav,p241/p241_145.wav,1
p241,p241,p241/p241_053.wav,p241/p241_192.wav,1
p241,p241,p241/p241_055.wav,p241/p241_352.wav,1
p241,p247,p241-p247/p241_050.wav,p247/p247_050.wav,0
p241,p247,p241-p247/p241_051.wav,p247/p247_051.wav,0
p241,p247,p241-p247/p241_052.wav,p247/p247_052.wav,0
p241,p247,p241-p247/p241_053.wav,p247/p247_053.wav,0
p241,p247,p241-p247/p241_055.wav,p247/p247_055.wav,0
p241,p241,p241/p241_050.wav,p241/p241_235.wav,1
p241,p241,p241/p241_051.wav,p241/p241_183.wav,1
p241,p241,p241/p241_052.wav,p241/p241_046.wav,1
p241,p241,p241/p241_053.wav,p241/p241_214.wav,1
p241,p241,p241/p241_055.wav,p241/p241_082.wav,1
p241,p249,p241-p249/p241_050.wav,p249/p249_050.wav,0
p241,p249,p241-p249/p241_051.wav,p249/p249_051.wav,0
p241,p249,p241-p249/p241_052.wav,p249/p249_052.wav,0
p241,p249,p241-p249/p241_053.wav,p249/p249_053.wav,0
p241,p249,p241-p249/p241_055.wav,p249/p249_055.wav,0
p241,p241,p241/p241_050.wav,p241/p241_221.wav,1
p241,p241,p241/p241_051.wav,p241/p241_289.wav,1
p241,p241,p241/p241_052.wav,p241/p241_264.wav,1
p241,p241,p241/p241_053.wav,p241/p241_342.wav,1
p241,p241,p241/p241_055.wav,p241/p241_259.wav,1
p241,p252,p241-p252/p241_050.wav,p252/p252_050.wav,0
p241,p252,p241-p252/p241_051.wav,p252/p252_051.wav,0
p241,p252,p241-p252/p241_052.wav,p252/p252_052.wav,0
p241,p252,p241-p252/p241_053.wav,p252/p252_053.wav,0
p241,p252,p241-p252/p241_055.wav,p252/p252_055.wav,0
p241,p241,p241/p241_050.wav,p241/p241_051.wav,1
p241,p241,p241/p241_051.wav,p241/p241_216.wav,1
p241,p241,p241/p241_052.wav,p241/p241_311.wav,1
p241,p241,p241/p241_053.wav,p241/p241_186.wav,1
p241,p241,p241/p241_055.wav,p241/p241_202.wav,1
p241,p255,p241-p255/p241_050.wav,p255/p255_050.wav,0
p241,p255,p241-p255/p241_051.wav,p255/p255_051.wav,0
p241,p255,p241-p255/p241_052.wav,p255/p255_052.wav,0
p241,p255,p241-p255/p241_053.wav,p255/p255_053.wav,0
p241,p255,p241-p255/p241_055.wav,p255/p255_055.wav,0
p241,p241,p241/p241_050.wav,p241/p241_118.wav,1
p241,p241,p241/p241_051.wav,p241/p241_319.wav,1
p241,p241,p241/p241_052.wav,p241/p241_096.wav,1
p241,p241,p241/p241_053.wav,p241/p241_031.wav,1
p241,p241,p241/p241_055.wav,p241/p241_109.wav,1
p241,p260,p241-p260/p241_050.wav,p260/p260_050.wav,0
p241,p260,p241-p260/p241_051.wav,p260/p260_051.wav,0
p241,p260,p241-p260/p241_052.wav,p260/p260_052.wav,0
p241,p260,p241-p260/p241_053.wav,p260/p260_053.wav,0
p241,p260,p241-p260/p241_055.wav,p260/p260_055.wav,0
p241,p241,p241/p241_050.wav,p241/p241_076.wav,1
p241,p241,p241/p241_051.wav,p241/p241_283.wav,1
p241,p241,p241/p241_052.wav,p241/p241_227.wav,1
p241,p241,p241/p241_053.wav,p241/p241_067.wav,1
p241,p241,p241/p241_055.wav,p241/p241_170.wav,1
p241,p262,p241-p262/p241_050.wav,p262/p262_050.wav,0
p241,p262,p241-p262/p241_051.wav,p262/p262_051.wav,0
p241,p262,p241-p262/p241_052.wav,p262/p262_052.wav,0
